date_at,mois,category,country,valeur,loss,reimburse
2022-04-07,2022-04,SHS+TV,Burkina,19664408.0,0.0,0.0
2022-04-07,2022-04,SHS+TV,Cameroun,1122978.0,0.0,0.0
2022-04-07,2022-04,SHS+TV,Mali,29402160.0,344900.0,0.0
2022-04-07,2022-04,SHS+TV,Niger,3691296.0,0.0,0.0
2022-04-07,2022-04,SHS+TV,Nigeria,3721454.0,398260.0,102000.0
2022-04-07,2022-04,SHS+TV,Senegal,106787732.0,69300.0,109000.0
2022-04-07,2022-04,accessories,Burkina,32895.0,21930.0,197370.0
2022-04-07,2022-04,accessories,Cameroun,1937166.0,0.0,0.0
2022-04-07,2022-04,accessories,Mali,9148.0,0.0,0.0
2022-04-07,2022-04,accessories,Niger,40800.0,0.0,0.0
2022-04-07,2022-04,accessories,Nigeria,368900.0,107088.02,34900.0
2022-04-07,2022-04,accessories,Senegal,19660.0,0.0,137620.0
2022-04-07,2022-04,big SHS,Burkina,3425767.0,0.0,0.0
2022-04-07,2022-04,big SHS,Nigeria,3117862.51,252931.53000000003,1084000.0
2022-04-07,2022-04,pico,Burkina,41411464.0,1896017.0,1153275.0
2022-04-07,2022-04,pico,Cameroun,1336384.0,0.0,0.0
2022-04-07,2022-04,pico,Mali,69624714.01518,1559237.83728,0.0
2022-04-07,2022-04,pico,Niger,14755528.0,351263.0,0.0
2022-04-07,2022-04,pico,Nigeria,6922917.94,7941116.99966,1251967.98
2022-04-07,2022-04,pico,Senegal,144961179.49972,1460015.95932,704763.27626
