date_at,mois,bucket,product_type,category,country,valeur
2022-03-31 00:00:00,2022-03,0 a 3 mois,Burn Stove,accessories,Nigeria,0.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,D Light Radio,accessories,Cameroun,19767.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV32,TV32,Cameroun,0.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV32,TV32,Mali,4197900.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV32,TV32,Senegal,16196915.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV32 NG,TV32,Nigeria,0.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV43,TV43,Cameroun,0.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV43,TV43,Mali,9739818.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Oolu SolarTV43,TV43,Senegal,15874878.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,Powerhub 3000,Powerhub,Burkina,2261400.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,WowSolar400,pico,Senegal,0.0
2022-03-31 00:00:00,2022-03,0 a 3 mois,WowSolar60,pico,Mali,0.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,Burn Stove Xtra,accessories,Nigeria,0.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,D Light Radio,accessories,Cameroun,1917399.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,D Light Torche,accessories,Cameroun,1976700.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,Oolu Solar Fan V1 + adapter,Fans,Nigeria,6667332.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,Oolu SolarTV32,TV32,Burkina,3685126.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,Oolu SolarTV32,TV32,Mali,3998000.0
2022-03-31 00:00:00,2022-03,3 a 6 mois,Oolu SolarTV32,TV32,Niger,775816.0
